client_id,planned_event_id,start_time,status
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-01-09,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-01-16,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-01-23,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-01-30,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-02-06,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-02-13,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-02-20,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-02-27,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-03-06,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-03-13,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-03-20,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-03-27,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-04-03,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-04-10,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-04-17,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-04-24,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-05-01,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-05-08,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-05-15,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-05-22,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-05-29,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-06-05,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-06-12,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-06-19,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-06-26,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-07-03,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-07-10,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-07-17,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-07-24,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-07-31,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-08-07,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-08-14,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-08-21,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-08-28,INCOMPLETED
